Day,G1_avg,G1_sd,G2_avg,G2_sd,G3_avg,G3_sd,G4_avg,G4_sd,G5_avg,G5_sd,G6_avg,G6_sd
7,51.78650722,20.21228576,31.93089326,16.92748972,48.80604948,19.28695466,43.66426433,19.4171611,30.98874216,17.75223012,44.4097948,13.04034143
14,66.18553474,27.35227607,53.80466579,21.29458141,69.03824882,35.95969477,46.3135918,27.26010675,34.64065349,25.39832283,60.14222585,16.14782451
23,100.8413135,48.5510595,67.10563177,29.53870616,126.0461,42.17893372,85.78517571,68.52607704,61.90568003,33.89275162,135.8493643,62.74423781
29,205.2919926,85.58474628,141.0233136,53.17991435,241.4782021,111.8506828,251.0865961,140.0938685,134.9942933,65.10770972,207.222552,91.55451307
34,334.8762396,106.0832799,225.8438883,92.22940398,393.011416,100.6062323,443.4823211,223.9566853,257.324806,123.4829825,303.3851143,117.382875
35,327.5511199,98.01534751,230.0103681,102.385178,424.1546543,99.11015395,440.5195528,224.1134357,237.999382,109.6699711,297.3192015,134.8329083
36,372.1299348,124.0578203,259.0092457,144.4088832,387.85531,65.67208465,435.6637475,245.0215275,227.2853174,135.0832316,268.5168254,118.9253395
37,363.1385719,170.4969452,259.7571738,131.9445586,392.0335148,80.06045006,459.5830897,260.5530204,207.2351409,129.6344909,241.8351727,85.52946355
40,400.3583054,119.1585563,308.0637435,160.0396965,326.109363,96.22274352,446.8169417,259.5225923,163.5528483,84.69327113,140.0702959,43.16174591
42,450.9057599,221.7874471,369.3838658,175.774723,337.4191781,134.6299016,499.4173549,277.8104053,148.9097476,78.78322066,131.7260089,40.31475913
44,465.513125,179.6693768,395.2250408,182.3033693,309.1274051,142.1621358,450.7896039,263.1278971,141.7399063,79.89866348,98.76130226,41.35047223
47,483.3945729,182.0014231,497.7864002,236.4042966,308.2998558,156.323571,524.1347158,321.2581626,137.8400902,71.88917453,81.13560851,40.77526546
49,589.6674114,288.6894404,574.8754367,257.733557,331.7022881,181.8823733,638.1385549,409.7236392,122.1327156,88.97988606,71.51416421,41.88331147
51,689.3750502,221.177289,599.9902351,311.1445081,318.423474,188.5838146,659.615126,414.8355435,91.33572717,78.96473053,70.42556201,63.38649897
54,749.4704478,346.4489211,655.0463734,314.6391155,330.2647784,189.5588792,714.8861099,469.5917248,59.32545205,78.7076282,18.52675862,37.05351725
56,875.3627493,463.1963541,846.1824919,387.3681162,324.8857551,182.6192123,986.3490085,591.6250461,69.92931767,90.5900636,14.68650346,29.37300691
61,1194.462305,664.4918723,1165.647773,462.572251,362.4299449,264.8479467,1261.379703,760.2256471,47.73438132,58.84426098,17.41391667,34.82783333
63,1218.301132,577.5164592,1043.764887,782.413836,385.0172943,273.4087967,1437.913328,869.880909,70.0763108,65.55749284,16.74593149,33.49186298
68,1640.105958,788.7583448,1238.730344,860.6335577,382.4895254,373.3477115,1928.703273,1169.878856,71.779505,61.6553393,15.5236576,31.0473152
